"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
11,"NCT04433988","Efficacy of Pentoxifylline as Add on Therapy in COVID19 Patients",,"Not yet recruiting","No Results Available","COVID","Drug: Pentoxifylline|Drug: Placebo","Primary Outcome|Respiratory infection|Serious Adverse Events","Sadat City University","All","18 Years to 60 Years   (Adult)","Phase 1|Phase 2","200","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment","RC-6-2020","June 13, 2020","August 30, 2020","August 30, 2020","June 16, 2020",,"June 16, 2020","Faculty of Medicine, Shibīn Al Kawm, Egypt",,"https://ClinicalTrials.gov/show/NCT04433988"
12,"NCT04345419","A Real-life Experience on Treatment of Patients With COVID 19",,"Recruiting","No Results Available","COVID","Drug: Chloroquine|Drug: Favipiravir|Drug: Nitazoxanide|Drug: Ivermectin|Drug: Niclosamide|Drug: Other drugs","Number of patients with decreased viral load","Tanta University","All","Child, Adult, Older Adult","Phase 2|Phase 3","120","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Treatment","COVID 19 treatment","June 16, 2020","December 2029","December 2029","April 14, 2020",,"June 18, 2020","Tanta university hospital, Tanta, Egypt",,"https://ClinicalTrials.gov/show/NCT04345419"
13,"NCT04334291","International COVID19 Clinical Evaluation Registry,","HOPE COVID 19","Recruiting","No Results Available","COVID 19","Combination Product: Observational (registry)","Death|In hospital stay.|Heart failure|Renal failure|Respiratory Insufficiency.|Upper respiratory tract involvement|Pneumonia|Sepsis|Systemic inflammatory response Syndrome.|Clinically relevant bleeding|Other complications.","IVAN J NUÑEZ GIL|St Carlos Hospital, Madrid, Spain","All","Child, Adult, Older Adult",,"6000","Other","Observational","Observational Model: Cohort|Time Perspective: Cross-Sectional","20/241-E|EUPAS34399","March 23, 2020","May 1, 2020","May 5, 2020","April 6, 2020",,"April 28, 2020","Hospital Lclinico San Carlos, Madrid, Spain",,"https://ClinicalTrials.gov/show/NCT04334291"
14,"NCT04354753","AiM COVID for Covid 19 Tracking and Prediction",,"Completed","No Results Available","COVID 19","Other: No Intervention","Physical symptoms|Contact History|Travel History|Fever|Headache|Soar Throat|Runny nose|Cough|Shortness of breath|Nausea|Vomiting|Muscle pain|Joint pain|Diarrhoea|Other|Hospitalisation history|Co-morbid conditions","Aarogyam UK|University of Warwick|Igor Sikorsky Kyiv Polytechnic Institute|ClickMedix LLC","All","18 Years and older   (Adult, Older Adult)",,"80","Other","Observational","Observational Model: Case-Only|Time Perspective: Retrospective","AU12","March 28, 2020","April 14, 2020","April 17, 2020","April 21, 2020",,"April 21, 2020","Aarogyam (UK), Leicester, United Kingdom",,"https://ClinicalTrials.gov/show/NCT04354753"
15,"NCT04408157","A Research Study to Evaluate the Benefits of a Self-management Booklet to Promote Wellbeing During the COVID-19 Pandemic","SWitCh","Not yet recruiting","No Results Available","COVID","Behavioral: Self-management booklet (SWitCh: Stay well during COVID-19)","Warwick-Edinburgh Mental Wellbeing Scale (WEMWBS): Tennant et al., 2007|Self-rated health status: Bombak, 2013|Brief Resilience Scale (BRS): Smith et al., 2008|Intolerance of Uncertainty Scale (IUS-12): Carleton et al., 2007|Positive Affect subscale of the Positive and Negative Affect Scale-X (PANAS-X): Watson & Clark, 1999|UCLA 3 item loneliness scale: Russell, 1996|Multidimensional Scale of Perceived Social Support (MSPSS): Zimet et al., 1988|Subjective Health Complaint Scale (SHC): Eriksen, Ihlebæk, & Ursin, 1999|Leeds Sleep Evaluation Questionnaire (LSEQ): Parrott & Hindmarch, 1980|Self-reported napping: Stone et al., 2018|Work and Social Adjustment Scale (WSAS): Mundt et al., 2002|International Physical Activity Questionnaire -short form (IPAQ-SF): Craig et al., 2003","King's College London","All","18 Years and older   (Adult, Older Adult)","Not Applicable","548","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","v1.1 06.05.2020","May 20, 2020","May 22, 2021","June 22, 2021","May 29, 2020",,"May 29, 2020",,,"https://ClinicalTrials.gov/show/NCT04408157"
16,"NCT04404218","The Açaí Berry COVID-19 Anti-Inflammation Trial","ACAI","Not yet recruiting","No Results Available","COVID","Dietary Supplement: Açaí palm berry extract - natural product|Other: Placebo","7-point ordinal symptom scale|The composite of all-cause mortality and need for mechanical ventilation|The composite of all-cause mortality and hospitalization|All-cause mortality|Need for mechanical ventilation|Need for hospitalization","University Health Network, Toronto|University of Toronto","All","40 Years and older   (Adult, Older Adult)","Phase 2","480","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","CTO3176","May 2020","November 2020","May 2021","May 27, 2020",,"May 27, 2020",,,"https://ClinicalTrials.gov/show/NCT04404218"
17,"NCT04347460","Establishing a COVID-19 Prospective Cohort for Identification of Secondary HLH","COVIDHLH","Recruiting","No Results Available","COVID",,"Presence of sHLH as determined by expert chart review by two independent reviewers|Determine the incidence of patients fulfilling HLH criteria in Covid 19 viral infection|Determine the incidence of patients fulfilling modified 2004 HLH diagnostic criteria (Ferritin > 10000 μg/L) in Covid 19 viral infection|Characterization and incidence of the hyper-inflammatory state in COVID-19|all cause mortality assesed on day 15|all cause mortality assesed on day 29|immunophenotpye","Technische Universität München","All","18 Years and older   (Adult, Older Adult)",,"20","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","161/20 S","March 27, 2020","July 1, 2020","August 31, 2020","April 15, 2020",,"April 15, 2020","Department of nephrology, Klinikum rechts der Isar, München, Bavaria, Germany",,"https://ClinicalTrials.gov/show/NCT04347460"
18,"NCT04366271","Clinical Trial of Allogeneic Mesenchymal Cells From Umbilical Cord Tissue in Patients With COVID-19","MESCEL-COVID19","Recruiting","No Results Available","COVID","Biological: Mesenchymal cells|Drug: Standard of care","Mortality due to lung involvement due to SARS-CoV-2 virus infection at 28 days of treatment|Mortality due to lung involvement due to SARS-CoV-2 virus infection at 14 days of treatment|Mortality from any cause at 28 days|Days without mechanical respirator and without vasopressor treatment for 28 days|Patients alive without mechanical ventilation and without vasopressors on day 28|Patients alive and without mechanical ventilation on day 14|Patients alive and without mechanical ventilation on day 28|Patients alive and without vasopressors on day 28|Days without vasopressors for 28 days|Patients cured at 15 days|Incidence of Treatment-Emergent Adverse Events","Hospital Infantil Universitario Niño Jesús, Madrid, Spain|Apices Soluciones S.L.","All","40 Years to 80 Years   (Adult, Older Adult)","Phase 2","106","Other|Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","MESCEL-COVID19|2020-001450-22","May 7, 2020","July 31, 2020","May 31, 2021","April 28, 2020",,"May 11, 2020","Hospital Universitario de Getafe, Getafe, Madrid, Spain|Hospital Universitario de Cruces, Barakaldo, Spain|Hospital Universitario de La Princesa, Madrid, Spain|Hospital Infantil Universitario Niño Jesus, Madrid, Spain|Hospital Ramón Y Cajal, Madrid, Spain|Complejo Universitario La Paz, Madrid, Spain",,"https://ClinicalTrials.gov/show/NCT04366271"
19,"NCT04373824","Max Ivermectin- COVID 19 Study Versus Standard of Care Treatment for COVID 19 Cases. A Pilot Study",,"Recruiting","No Results Available","COVID","Drug: Ivermectin","effect of Ivermectin on eradication of virus.","Max Healthcare Insititute Limited","All","18 Years to 75 Years   (Adult, Older Adult)","Not Applicable","50","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","MHC-COVID-19- INV- ACT-BHR","April 25, 2020","July 25, 2020","July 25, 2020","May 4, 2020",,"May 4, 2020","Max Super Speciality hospital, Saket (A unit of Devki Devi Foundation), New Delhi, Delhi, India",,"https://ClinicalTrials.gov/show/NCT04373824"
20,"NCT04343092","Efficacy of Ivermectin as Add on Therapy in COVID19 Patients",,"Completed","No Results Available","COVID 19","Drug: Ivermectin (IVM)","Number of cured patients|Mean time to cure of the covid 19 patients","University of Baghdad","All","18 Years and older   (Adult, Older Adult)","Phase 1","100","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","PRO20040001","April 18, 2020","May 31, 2020","June 1, 2020","April 13, 2020",,"June 5, 2020","General Directorate of Medical City, Bagdad, Baghdad, Iraq",,"https://ClinicalTrials.gov/show/NCT04343092"
21,"NCT04338126","Tranexamic Acid (TXA) and Corona Virus 2019 (COVID19) in Inpatients","TCInpatient","Not yet recruiting","No Results Available","COVID19","Drug: Tranexamic acid|Drug: Placebo oral tablet","Admission to Intensive Care Unit","University of Alabama at Birmingham","All","19 Years and older   (Adult, Older Adult)","Phase 2","60","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","TXACOVID2","September 30, 2020","December 15, 2020","December 31, 2020","April 8, 2020",,"June 11, 2020","University of Alabama at Birmingham, Birmingham, Alabama, United States",,"https://ClinicalTrials.gov/show/NCT04338126"
22,"NCT04433039","COVID19 Versus H1N1: Radiological Challenge During Next Influenza Season Rising",,"Completed","No Results Available","COVID",,"COVID19 versus H1N1; radiological comparative study","Alexandria University","All","4 Years to 80 Years   (Child, Adult, Older Adult)",,"130","Other","Observational","Observational Model: Case-Crossover|Time Perspective: Retrospective","IRB (00012098), SN (0304669)","May 22, 2020","June 12, 2020","June 14, 2020","June 16, 2020",,"June 16, 2020","Faculty of Medicine, University of Alexandria, Alexandria, Egypt",,"https://ClinicalTrials.gov/show/NCT04433039"
23,"NCT04401098","Changing Of Egyptian Population Behaviour Towards COVID 19 Outbreak",,"Recruiting","No Results Available","COVID 19",,"awareness of Egyptian population","Damanhour University","All","Child, Adult, Older Adult",,"700","Other","Observational","Observational Model: Other|Time Perspective: Prospective","covid 19","May 2, 2020","October 1, 2020","April 1, 2021","May 26, 2020",,"May 26, 2020","Damanhour University, Damanhūr, Beheira, Egypt",,"https://ClinicalTrials.gov/show/NCT04401098"
24,"NCT04363008","COVID 19 Biomarkers",,"Recruiting","No Results Available","COVID 19","Diagnostic Test: serum inflammatory biomarkers","Inflammation|Oxygenation|Chronic Pulmonary outcomes|Pulmonary artery pressure using transthoracic echocardiography|Exertion|Quality of life assessment","University of British Columbia","All","Child, Adult, Older Adult",,"150","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","H20-00971","March 30, 2020","April 30, 2020","September 30, 2021","April 27, 2020",,"May 8, 2020","Vancouver General Hospital, Vancouver, British Columbia, Canada",,"https://ClinicalTrials.gov/show/NCT04363008"
25,"NCT04379297","COvid-19 National Survey for Assessing VIral Spread by Nonaffected CarriErs (CON-VINCE)","CON-VINCE","Active, not recruiting","No Results Available","COVID19",,"Prevalence and dynamics of the SARS-COV 2 infection in Luxemburg|Collection of samples for research|Psycho-social evaluation","Luxembourg Institute of Health|Luxembourg National Research Funds|University of Luxembourg/ Luxembourg Centre for Systems Biomedicine|Centre Hospitalier du Luxembourg|TNS-Ilres|Laboratoires Réunis|BioneXt Lab|Ketterthill|Laboratoire National de santé","All","18 Years and older   (Adult, Older Adult)",,"1800","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","CNER 202004/01|831x6ce0d|FNR/CON-VINCE","April 10, 2020","May 28, 2021","December 31, 2021","May 7, 2020",,"May 7, 2020","Luxembourg Institute of Health, Strassen, Luxembourg",,"https://ClinicalTrials.gov/show/NCT04379297"
26,"NCT04353154","The RAPID COVID TRIAGE Algorithm",,"Not yet recruiting","No Results Available","COVID","Diagnostic Test: Spartan Cube Point-of Care Covid-19 test","Sensitivity","Ottawa Heart Institute Research Corporation","All","18 Years and older   (Adult, Older Adult)",,"20","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","20200228-01H","April 15, 2020","August 31, 2020","February 28, 2021","April 20, 2020",,"April 20, 2020",,,"https://ClinicalTrials.gov/show/NCT04353154"
27,"NCT04419610","RAS and Coagulopathy in COVID19",,"Not yet recruiting","No Results Available","COVID","Biological: TRV027|Other: sodium chloride 0.9%","Coagulopathy associated with COVID-19|Markers of dysregulation of coagulation system|Markers of dysregulation of RAS|Markers of Haemolysis/inflammation|Markers of Haemolysis/Inflammation|Markers of organ dysregulation - kidney|Markers of dysregulation of cardiovascular system|marker of dysregulation of endocrine system","Imperial College London","All","65 Years and older   (Older Adult)","Early Phase 1","60","Other","Interventional","Allocation: Randomized|Intervention Model: Single Group Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Health Services Research","283093","July 2020","August 2020","January 2021","June 5, 2020",,"June 17, 2020",,,"https://ClinicalTrials.gov/show/NCT04419610"
28,"NCT04359537","Efficacy of Various Doses of Hydroxychloroquine in Pre-Exposure Prophylaxis for COVID 19","CHEER","Recruiting","No Results Available","COVID 19","Drug: Hydroxychloroquine Sulfate 200 MG|Other: Placebo","COVID-19-free survival in experimental arms compared to placebo|Incidence of confirmed SARS-COV-2 detection|Incidence of possible COVID-19 symptoms|Incidence of all-cause study medicine discontinuation|Ordinal Scale of COVID-19 Disease maximum severity if COVID-19 diagnosed at study end|Incidence of Hospitalization for COVID-19 or death|Incidence of study medication-related adverse events","Shaheed Zulfiqar Ali Bhutto Medical University","All","18 Years to 60 Years   (Adult)","Phase 2","200","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Prevention","F.1-1/2015/ERB/SZABMU/549","May 1, 2020","August 25, 2020","September 25, 2020","April 24, 2020",,"May 19, 2020","Shaheed Zulfiaqar Ali Bhutto Medical University, Islamabad, Federal Capital, Pakistan",,"https://ClinicalTrials.gov/show/NCT04359537"
29,"NCT04438863","Daily Home Spirometry for Early Detection of Pulmonary Complications in Patients With COVID19",,"Not yet recruiting","No Results Available","COVID 19","Diagnostic Test: home spirometry","Hospitalization","Sheba Medical Center","All","18 Years to 85 Years   (Adult, Older Adult)",,"90","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","SHEBA-20-7022-SMC-LL-CTIL","September 1, 2020","September 1, 2021","September 1, 2021","June 19, 2020",,"June 19, 2020",,,"https://ClinicalTrials.gov/show/NCT04438863"
30,"NCT04407299","COVID-19 Impact on Rheumatic Patients",,"Completed","No Results Available","COVID","Behavioral: self-administered structured questionnaire","Score of five-item Brief Symptom Rating Scale (BSRS-5)","Cairo University","All","16 Years and older   (Child, Adult, Older Adult)",,"360","Other","Observational","Observational Model: Other|Time Perspective: Cross-Sectional","COVID-19Rheum","April 20, 2020","May 10, 2020","May 20, 2020","May 29, 2020",,"May 29, 2020","Kasr Alainy Hospital, Cairo, Non-US/Non-Canadian, Egypt",,"https://ClinicalTrials.gov/show/NCT04407299"
31,"NCT04381871","Potential Role of Gum Arabic as Immunomodulatory Agent Among COVID 19 Patients","GA&COVID19","Not yet recruiting","No Results Available","COVID 19","Dietary Supplement: Acacia Senegal|Dietary Supplement: Pectin","Mean change from baseline score of Immune Response to end of the trial ( Time Frame: up to 4 weeks )|Mortality rate|Determine viral load in each patient","Al-Neelain University|University of Khartoum","All","5 Years to 90 Years   (Child, Adult, Older Adult)","Phase 2|Phase 3","110","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","GA& COVID19","June 1, 2020","August 1, 2020","September 1, 2020","May 11, 2020",,"May 12, 2020","Omdurman Teaching Hospital, Khartoum, Omdurman, Sudan|Jabra Hospital,, Khartoum, Sudan",,"https://ClinicalTrials.gov/show/NCT04381871"
32,"NCT04328272","Effectiveness of Hydroxychloroquine in Covid-19 Patients","Covid","Not yet recruiting","No Results Available","COVID19","Drug: Hydroxychloroquine 200 Mg Oral Tablet|Drug: Azithromycin 500Mg Oral Tablet|Dietary Supplement: Glucose tablets","National Early Warning Score equal to zero|C-reactive proteins|Lymphocyte Count|d-dimers","Prof. Dr. Umar Farooq|Ayub Medical College, Abbottabad","All","18 Years to 50 Years   (Adult)","Phase 3","75","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Treatment","Ath/ct101/22/3","March 28, 2020","May 28, 2020","June 28, 2020","March 31, 2020",,"April 2, 2020","Ayub Teaching Institution, Abbottābād, K.p.k, Pakistan",,"https://ClinicalTrials.gov/show/NCT04328272"
33,"NCT04426344","Core Warming of COVID-19 Patients",,"Not yet recruiting","No Results Available","COVID 19","Device: ensoETM device","Viral load measured in tracheal aspirate 72 hours after initiation of core warming|PaO2/FiO2 ratio 72 hours after initiation of core warming|Duration of mechanical ventilation","Washington University School of Medicine","All","18 Years and older   (Adult, Older Adult)","Not Applicable","20","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Treatment","202005150","June 2020","November 2020","November 2020","June 11, 2020",,"June 11, 2020","Barnes-Jewish Hospital, Saint Louis, Missouri, United States",,"https://ClinicalTrials.gov/show/NCT04426344"
34,"NCT04345679","Anti COVID-19 Convalescent Plasma Therapy",,"Not yet recruiting","No Results Available","COVID 19","Biological: anti-SARS-CoV-2 convalescent plasma","Changing of viral load of SARS-CoV2|Changes in immunglobulin G COVID-19 antibody titer|Changes at the cytokine pattern|Intensive Care Unit Admission|Length of hospital stay|Duration of mechanical ventilation|Clinical Status|Mortality","Orthosera Kft.|Semmelweis University|University of Pécs|Hungarian National Blood Service|Humán Bioplazma Kft - Kedrion","All","18 Years and older   (Adult, Older Adult)","Early Phase 1","20","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","AntiCOVID19ORT","April 14, 2020","June 1, 2020","April 1, 2021","April 14, 2020",,"April 24, 2020",,,"https://ClinicalTrials.gov/show/NCT04345679"
35,"NCT04365582","OUTpatient Treatment of COVID-19 in Patients With Risk Factor for Poor Outcome","OUTCOV","Recruiting","No Results Available","COVID","Drug: Azithromycin|Drug: Hydroxychloroquine|Drug: Lopinavir 200Mg/Ritonavir 50Mg Tab","Hospital admission|Effect of treatment on Death at D20|Effect of treatment on Death at D60|Effect of treatment on Death due to COVID at D20|Effect of treatment on Death due to COVID at D60|Effect of treatment on need for ICU stay at D20|Effect of treatment on need for ICU stay at D60|Effect of treatment on duration of ICU stay at D20|Effect of treatment on duration of ICU stay at D60|Effect of treatment on need of mechanical ventilation at D20|Effect of treatment on need of mechanical ventilation at D60|Effect of treatment on duration of mechanical ventilation at D20|Effect of treatment on duration of mechanical ventilation at D60|Effect of treatment on time to hospitalization at D20|Effect of treatment on time to hospitalization at D60|Effect of treatment on Duration of Hospital stay et D20|Effect of treatment on Duration of Hospital stay et D60|Effect of treatment on Duration of symptoms at D20|Effect of treatment on Duration of symptoms at D60|Incidence of Treatment-Emergent Adverse Events","Groupe Hospitalier Paris Saint Joseph","All","50 Years and older   (Adult, Older Adult)","Phase 3","640","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","OUTCOV","May 7, 2020","August 7, 2020","February 7, 2021","April 28, 2020",,"June 18, 2020","Hôpital Privé d'Antony, Antony, France|Hôpital Avicenne, Bobigny, France|Centre Hospitalier Intercommunal de Créteil, Créteil, France|Groupe Hospitalier Paris Saint-Joseph, Paris, France|Institut Mutualiste Montsouris, Paris, France",,"https://ClinicalTrials.gov/show/NCT04365582"
